#separator:;
#html:true
#tags column:3

Blockchain;Um registro distribuído e imutável de transações que resolve a necessidade de confiança sem intermediários centralizados. Cada bloco contém hash do anterior, formando uma cadeia criptográfica.;Fundações
Consenso;Mecanismo que permite múltiplos nós concordarem sobre o próximo bloco válido sem autoridade central. Exemplos: PoW (Bitcoin), PoS (Ethereum 2.0).;Fundações
PoW - Proof of Work;Sistema de consenso baseado em trabalho computacional (mineração). Segurança vem do custo econômico de atacar a rede. Usado por Bitcoin.;Fundações
PoS - Proof of Stake;Sistema de consenso onde validadores travam capital (stake) para validar blocos. Reduz custos energéticos vs PoW. Usado por Ethereum desde 2022.;Fundações
Ledger (Razão);Registro central que mantém o estado de todas as contas e saldos. É o "livro de contabilidade" da blockchain.;Fundações
Node (Nó);Computador que valida, armazena e transmite blocos e transações. Executa as regras da rede.;Fundações
Block (Bloco);Conjunto de transações e metadados (timestamp, hash anterior, nonce) agrupados e validados juntos. Gerado aproximadamente a cada período (ex: 12s no Ethereum).;Fundações
Hash;Função criptográfica que transforma dados em string única. Pequena mudança nos dados = hash completamente diferente. Base da segurança de blockchain.;Fundações
Merkle Tree;Estrutura que agrupa hashes de transações em árvore. Permite verificar se uma tx está em um bloco com O(log n) dados.;Fundações
Nonce;Número único por conta que incrementa a cada transação. Evita replays de transações e ordena execução.;Fundações

Smart Contract;Código executado on-chain que automatiza acordos sem intermediários. Determinístico e imutável. Exemplos: DEXs, lending protocols, NFTs.;Smart Contracts
EVM - Ethereum Virtual Machine;Runtime padronizado que executa Smart Contracts. Compatível com múltiplas L1/L2 (Polygon, Arbitrum, etc).;Smart Contracts
Solidity;Linguagem de programação principal para EVM. Sintaxe similar a JavaScript. Desenvolvida pela Ethereum Foundation.;Smart Contracts
Vyper;Linguagem alternativa para EVM focada em segurança e simplicidade. Mais verbosa que Solidity mas reduz bugs.;Smart Contracts
Gas;Unidade de custo para executar operações em blockchain (cálculos, armazenamento, transferências). Taxa = gas used × gas price.;Smart Contracts
Gas Limit;Máximo de gas que você está disposto a pagar por uma transação. Protege contra loops infinitos e custos surpresa.;Smart Contracts
